count,dataset,session,movie,location,y_coordinate,x_coordinate,Resp_u,Resp_v,GT_u,GT_v
36,1,2,2,6,181,633,-6.83313595894772,-3.44683583976634,-13.1875,-0.59375
37,1,2,2,7,178,860,-6.26858390027501,-1.98955370699646,-8.46875,-0.296875
38,1,2,2,8,260,876,4.35478121644856,-4.04256076787929,6.125,-2.015625
39,1,2,2,9,186,1044,3.96727211179685,-2.87878419597642,11.25,-0.328125
40,1,2,2,10,202,1061,6.36812275583006,-2.34014861329041,10.546875,-0.640625
41,1,3,1,1,173,306,-8.47408973784024,-0.616395816472985,-19.265625,-0.578125
42,1,3,1,2,169,418,-4.92356912500752,0.0675965477812188,-9.53125,-0.515625
43,1,3,1,3,232,460,-5.11201568995888,-3.20074804875793,-12.546875,-4.3125
44,1,3,1,4,252,556,-2.86671294332718,-3.84439266638216,-7.1875,-6.65625
45,1,3,1,5,207,649,-1.16361548035952,0.257717004477968,-8.03125,0.078125
46,1,3,1,6,270,664,1.05779458145961,-3.95108428783804,2.25,-9.90625
47,1,3,1,7,198,703,-0.83249662023137,0.00340661522437374,-9.609375,-0.125
48,1,3,1,8,209,771,1.76894828470567,-0.00533124786330968,2.859375,-2
49,1,3,1,9,246,793,0.200496007338037,0.28263014062802,-18.75,2.125
50,1,3,1,10,154,819,7.34063390063193,0.647711803708537,6.453125,0.234375
51,1,3,2,1,202,335,-9.42720358665109,-4.37643206315763,-17.640625,-2.859375
52,1,3,2,2,170,336,-6.7281181289264,-1.83335112474448,-3.140625,-1.171875
53,1,3,2,3,196,408,-7.59491566154616,-3.06509009401786,-7.4375,-2
54,1,3,2,4,256,464,-5.01457221154944,-5.49959973475159,-7.859375,-5.875
55,1,3,2,5,266,564,-2.15729634560096,-6.08467195599445,-2.265625,-7.34375
56,1,3,2,6,160,645,1.2476518766843,0.48249212424257,1.4375,-0.96875
57,1,3,2,7,265,646,2.6370994478048,-5.70127420631762,3.546875,-7.203125
58,1,3,2,8,151,709,4.51758335419836,0.549028912932491,5.203125,-0.03125
59,1,3,2,9,255,776,5.41279292251233,-5.64735394745319,12.734375,-6.59375
60,1,3,2,10,166,883,8.84252885741632,-0.0455710097697096,18.671875,-0.375
61,1,4,1,1,164,286,-12.9622043528893,-0.525294844816176,-12.3125,0.03125
62,1,4,1,2,155,409,-11.5507768651173,-2.37092445024174,-9.28125,0.890625
63,1,4,1,3,232,436,-8.09183638475303,-9.40984909790793,-17.59375,-6.203125
64,1,4,1,4,199,482,-8.52458923320837,-8.37431588070343,-12.75,-2.796875
65,1,4,1,5,236,568,-3.37912276731505,-11.2630960091795,-1.984375,-4.421875
66,1,4,1,6,188,592,0.520206224659687,3.15911058450068,0.53125,1.421875
67,1,4,1,7,246,650,4.89470837727111,-11.8226918027173,5.0625,-6.15625
68,1,4,1,8,148,667,10.6183622625698,2.62467489638096,4.703125,2.25
69,1,4,1,9,177,691,11.8616029147003,-1.88457640806731,6.640625,0.4375
70,1,4,1,10,180,779,13.1586762858658,-1.91842402892702,8.5625,0.546875
71,1,4,2,1,217,321,-12.2019423043667,-5.6493717994309,-9.09375,-1.859375
72,1,4,2,2,198,477,-7.9849461965928,-9.53396639221083,-18.875,-3.953125
73,1,4,2,3,264,516,-4.32800626017586,-11.1670685543471,-7.171875,-7.921875
74,1,4,2,4,196,525,-8.19010106928641,-9.04252928740258,-5,-1.9375
75,1,4,2,5,271,579,-1.21922504800369,-11.5619178189564,-2,-9.421875
76,1,4,2,6,202,621,1.04318535143936,3.15900307532294,1.203125,-0.375
77,1,4,2,7,261,661,4.91547194183861,-11.221974495606,5.390625,-7.671875
78,1,4,2,8,253,715,7.66296377535644,-10.3492963482681,9.140625,-6.28125
79,1,4,2,9,195,882,12.5166397155328,-2.23158761780176,9.953125,-0.96875
80,1,4,2,10,173,1068,14.0856074698768,1.21531066171994,18.578125,-0.15625
81,1,5,1,1,171,239,-14.5135542560799,-1.59159711125717,-17.90625,-1.1875
82,1,5,1,2,178,343,-9.83856233678151,-1.63225300245582,-5.484375,-1.421875
83,1,5,1,3,250,492,-8.54142778682947,-8.40073691066226,-9.1875,-7.21875
84,1,5,1,4,199,538,-7.74747538852128,-6.85683889319357,-4.8125,-2.578125
85,1,5,1,5,267,574,-2.33903625158143,-9.64742591114027,-3.09375,-10.71875
86,1,5,1,6,200,624,0.163761514579359,-0.30600877835957,0.453125,-1.03125
87,1,5,1,7,254,653,3.22611085277974,-8.12370790618904,4.859375,-8.3125
88,1,5,1,8,156,683,8.34782482661413,2.40648197082484,4.75,0.28125
89,1,5,1,9,239,740,8.78414267927049,-5.95724301444119,10.03125,-5.296875
90,1,5,1,10,190,964,10.8330397888705,-0.727556603221531,15.640625,-1.1875
91,1,5,2,1,201,495,-11.0476060333784,-7.37620677715741,-10.859375,-2.765625
92,1,5,2,2,191,519,-9.88452559293218,-6.38824379369096,-8.484375,-1.78125
93,1,5,2,3,237,526,-8.6536235485736,-8.47311716133458,-6.453125,-5.328125
94,1,5,2,4,188,549,-7.06182940286425,-4.24694721161452,-3,-0.984375
95,1,5,2,5,247,573,-2.53165506892984,-9.43931521116064,-2.90625,-7.46875
96,1,5,2,6,253,623,1.91906057449103,-9.43644268534613,2.359375,-8.875
97,1,5,2,7,197,686,6.57472046809887,-5.17619480647823,6.25,-1.71875
98,1,5,2,8,244,690,7.50609590746169,-9.2383096150443,8.9375,-7.15625
99,1,5,2,9,224,802,9.86792588312663,-3.89880119504521,14.640625,-3.6875
100,1,5,2,10,156,921,5.20545162765261,1.32331106302062,13.5625,0.609375
101,1,6,1,1,247,266,-10.848503813406,-4.22472087567514,-9.265625,-2.6875
102,1,6,1,2,193,315,-9.72234499929812,-1.80966029422301,-5.21875,-0.6875
103,1,6,1,3,264,399,-8.04764418888951,-8.04987654439023,-7.46875,-3.859375
104,1,6,1,4,289,478,-5.02631051512031,-9.4192050368757,-5.59375,-6.015625
105,1,6,1,5,195,510,-7.01613920921601,-9.34920147723188,-8.515625,-1.28125
106,1,6,1,6,228,541,-5.73891783175581,-9.08190489522125,-6.15625,-4.09375
107,1,6,1,7,299,568,-0.371866075860605,-10.2750606184554,-0.96875,-7.078125
108,1,6,1,8,196,605,-3.6796667674479,-4.69925839257688,-0.890625,-0.78125
109,1,6,1,9,287,730,5.92491475547422,-9.70806522778682,8.890625,-6.125
110,1,6,1,10,252,837,11.3890920018437,-3.71243170195137,11.8125,-2.390625
111,1,6,2,1,199,365,-15.0894469235558,-1.17677137870156,-9.90625,-1.09375
112,1,6,2,2,147,509,-13.9134886825291,0.368467342461224,-14.765625,5.3125
113,1,6,2,3,199,523,-13.7625468337061,-4.89153857473702,-12.4375,-2.734375
114,1,6,2,4,253,530,-5.67686142772548,-11.955910974985,-8.234375,-8.640625
115,1,6,2,5,256,619,1.93146312924681,-13.9421703358918,2.359375,-9.203125
116,1,6,2,6,258,654,5.75329881439807,-12.9166911912758,6.640625,-9.484375
117,1,6,2,7,216,690,8.55430960819523,-10.4841527028248,10.171875,-3.921875
118,1,6,2,8,157,705,10.5043803291549,2.88269950836259,4.5625,1.015625
119,1,6,2,9,211,775,13.916989306325,-2.21280468491442,9.90625,-1.453125
120,1,6,2,10,170,818,13.2792582990837,1.67021858071888,12.484375,0.84375
121,1,7,1,1,201,495,-7.55300633844524,-6.88519710099466,-10.859375,-2.765625
122,1,7,1,2,191,519,-5.49502857697059,-5.06596060987735,-8.484375,-1.78125
123,1,7,1,3,237,526,-6.57142977007175,-8.83168630300645,-6.453125,-5.328125
124,1,7,1,4,188,549,-5.23417057006376,-5.16445671384237,-3,-0.984375
125,1,7,1,5,247,573,-3.5288958593135,-9.89595654704347,-2.90625,-7.46875
126,1,7,1,6,253,623,0.944303037574128,-11.8183368024578,2.359375,-8.875
127,1,7,1,7,197,686,4.65947136306976,-5.70577076348996,6.25,-1.71875
128,1,7,1,8,244,690,5.47928581899205,-8.51646293696778,8.9375,-7.15625
129,1,7,1,9,224,802,8.97607445461559,-7.97254680587093,14.640625,-3.6875
130,1,7,1,10,156,921,6.41879928637005,-0.238634680842233,13.5625,0.609375
131,1,7,2,1,225,239,6.4400797564413,5.86240228816532,16.328125,0.984375
132,1,7,2,2,234,408,7.13732164113147,6.7410576023109,6.03125,1.078125
133,1,7,2,3,187,415,-3.59580113703685,-1.59268502624605,-13.15625,-1.484375
134,1,7,2,4,245,502,-5.6863863054105,-7.81968848758761,-10.328125,-7.1875
135,1,7,2,5,261,586,-1.75457821603342,-10.5735237523782,-2.515625,-11
136,1,7,2,6,259,656,4.53394759222165,-12.3759672148739,6.1875,-10.6875
137,1,7,2,7,250,695,7.3019553544677,-12.9823147558218,9.515625,-8.28125
138,1,7,2,8,233,749,9.74992671699541,-9.76532442314401,10.28125,-4.453125
139,1,7,2,9,244,800,10.3760983956872,-8.70406738051322,16.28125,-6.03125
140,1,7,2,10,197,865,10.8091500167637,-3.84912459593626,13.09375,-1.421875
141,1,8,1,1,158,341,-5.82982815028161,0.492851527017702,-16.34375,3.71875
142,1,8,1,2,246,455,-5.92427382012796,-5.35666979232247,-12.109375,-3.328125
143,1,8,1,3,198,491,-6.17059859820304,-4.24589638639754,-17.796875,-0.8125
144,1,8,1,4,218,519,-5.59744898985315,-4.72699186548455,-13,-4.046875
145,1,8,1,5,260,559,-3.50068805800021,-7.75078292150337,-5.09375,-6.953125
146,1,8,1,6,258,640,2.89203215357354,-8.91563902883066,3.5625,-6.921875
147,1,8,1,7,252,688,5.46811196075122,-6.89903466582283,7.84375,-5.703125
148,1,8,1,8,174,716,6.28579718703982,-0.500121984132113,6.046875,1.515625
149,1,8,1,9,197,776,5.75301733556463,-0.324051461066717,13.953125,-0.390625
150,1,8,1,10,174,990,5.83803925624523,0.430462527344402,15.421875,0.609375
151,1,8,2,1,223,233,-4.4618754594295,-1.12142338639872,-13.203125,-4.03125
152,1,8,2,2,272,328,-5.27269141935953,-2.34901248993642,-10,-6.734375
153,1,8,2,3,283,451,-3.34122589948558,-3.88609282472956,-5.1875,-8.46875
154,1,8,2,4,196,499,-5.8634062103219,-3.00752544163121,-14.828125,-3.625
155,1,8,2,5,286,545,0.305645350477152,-5.21077802590017,0.78125,-9.15625
156,1,8,2,6,276,677,3.5467112357093,-3.81929062317073,10,-7.703125
157,1,8,2,7,193,707,3.16941603971755,2.9054958411933,8.984375,-0.3125
158,1,8,2,8,236,840,7.67637624000098,-3.68672285957246,16.609375,-3.578125
159,1,8,2,9,146,916,6.94036401522561,2.30084769876994,18.53125,0.859375
160,1,8,2,10,172,1047,7.14490134828942,-0.0848097508896735,16.578125,-0.140625
161,1,9,1,1,192,372,-10.4672552010476,-6.24435826904351,-17.640625,-3.453125
162,1,9,1,2,222,450,-8.64739555386437,-7.59882198998726,-10.859375,-5.75
163,1,9,1,3,246,510,-5.94707128558539,-9.50261279967997,-9.640625,-9.84375
164,1,9,1,4,253,563,-3.91400103781676,-9.99799340859732,-4.9375,-12.234375
165,1,9,1,5,253,617,0.371073589107798,-10.1906157591766,1.8125,-11.703125
166,1,9,1,6,242,674,4.98462734116295,-10.2729110736206,7.375,-9.40625
167,1,9,1,7,183,724,7.6471104094045,-2.85708611170626,4.484375,-2.9375
168,1,9,1,8,214,802,-9.58577836191923,0.915978729791975,-5.890625,-4.546875
169,1,9,1,9,163,879,11.349723349122,-0.477381062685665,16.296875,-2.21875
170,1,9,1,10,214,911,-8.28561179084673,-0.883769433849744,-1.71875,-5.34375
171,1,9,2,1,186,294,-7.49262374597765,-1.52813135789167,-12.90625,-0.90625
172,1,9,2,2,220,385,-6.1922140169081,-3.37289115131031,-8.109375,-2.171875
173,1,9,2,3,223,479,-4.34345268761075,-3.50120001883621,-3.984375,-2.046875
174,1,9,2,4,288,506,-3.892144272277,-6.4529079762162,-4.25,-5.015625
175,1,9,2,5,202,623,0.908797336805217,4.38106552832974,-1.75,-0.5
176,1,9,2,6,294,628,0.828776312654006,-5.75871813064331,0.5,-5.53125
177,1,9,2,7,200,683,9.99850422049885,1.55252522037366,6.125,-0.578125
178,1,9,2,8,299,741,3.99759535139437,-6.87784439675761,5.34375,-6.09375
179,1,9,2,9,206,756,9.06550839187156,1.20832613430839,8.484375,-0.640625
180,1,9,2,10,206,915,8.27269906544571,-3.34301404125657,15.34375,-2.484375
181,1,10,1,1,214,113,-7.6944798205844,-3.30278989251369,-8.703125,-1.0625
182,1,10,1,2,289,149,-0.131782874767349,0.520053993572528,5.546875,0.109375
183,1,10,1,3,251,373,0.0814265993386583,0.608774569027634,1.328125,-0.328125
184,1,10,1,4,305,497,-2.11782942696638,-5.50657017704498,-2.71875,-4.59375
185,1,10,1,5,301,616,0.470172628115152,-6.28783210391061,1.078125,-4.515625
186,1,10,1,6,297,713,2.75820748260122,-5.98554842482497,4.125,-4.3125
187,1,10,1,7,302,798,3.53447734371223,-5.44750189868459,7.796875,-5.15625
188,1,10,1,8,168,825,5.25809762679863,-2.92510262415711,7.40625,-0.21875
189,1,10,1,9,258,1020,6.85869296135292,-3.81079566899036,11.328125,-2.515625
190,1,10,1,10,210,1135,8.66452711619714,-2.46738164524278,12.171875,-1.09375
191,1,10,2,1,206,305,-9.01203592203856,-2.7904018256237,-11.578125,-1.296875
192,1,10,2,2,195,400,-7.99890055141573,-3.05796189279578,-11.171875,-1.046875
193,1,10,2,3,291,414,-5.09863247075122,-5.67525932894432,-11.46875,-5.078125
194,1,10,2,4,209,538,-3.37271601706449,-5.0508268627056,-7.53125,-2.046875
195,1,10,2,5,298,552,-2.03540971740435,-6.48801491268986,-5.921875,-5.3125
196,1,10,2,6,191,586,-2.49191420030947,-4.56678493700946,-4.890625,-0.9375
197,1,10,2,7,297,650,2.00714878345609,-7.37243391520559,-1.828125,-4.84375
198,1,10,2,8,282,805,3.77941860747643,-6.37142644742215,4.890625,-4.21875
199,1,10,2,9,220,882,7.08779211484221,-4.38802909864393,18.53125,-3.28125
200,1,10,2,10,164,1013,10.7551310401562,-0.0513816441981806,11.0625,1.15625
201,1,11,1,1,253,143,-5.44515360099481,-2.69401741353943,-5.890625,-2.78125
202,1,11,1,2,300,293,-3.05417506866503,-4.42918852080696,-8.328125,-6.640625
203,1,11,1,3,215,392,-4.81229373801799,2.14493163396961,-10.78125,-1.359375
204,1,11,1,4,279,526,-3.63507957540854,1.53176084204481,-10.734375,-0.6875
205,1,11,1,5,204,641,5.52511591447324,-0.37154337328315,5.671875,-1.703125
206,1,11,1,6,286,647,3.7400847716125,-5.34724036520405,7.25,-6.21875
207,1,11,1,7,192,858,7.48226921041005,-0.864180986254117,13.75,-2.140625
208,1,11,1,8,280,859,5.59234907180966,-5.64696263573067,16.53125,-6.21875
209,1,11,1,9,163,1033,7.88681485007123,0.0278190994919764,19.140625,-1.328125
210,1,11,1,10,179,1121,8.23686484312577,0.45809120195687,14.4375,-1.8125
211,1,11,2,1,233,327,-11.5996115964792,-6.69478980698287,-16.90625,1.859375
212,1,11,2,2,260,509,-7.30155063151845,-7.57924499120908,-10.765625,-1.59375
213,1,11,2,3,295,563,-3.84778341123142,-10.4594281925403,-8.46875,-8.4375
214,1,11,2,4,226,599,-1.16939637484537,-4.21614656886521,0.09375,4.828125
215,1,11,2,5,294,647,1.68425625637069,-10.2694626394392,0.765625,-8.171875
216,1,11,2,6,204,655,2.35400407814217,-2.03193809955489,0.1875,4.921875
217,1,11,2,7,287,760,6.62172748716016,-10.1336894263938,13.203125,-7.40625
218,1,11,2,8,230,777,8.44405543906597,-6.51588474764971,12.390625,-0.3125
219,1,11,2,9,172,821,10.8196171034465,-3.66003448079112,5.75,4.796875
220,1,11,2,10,196,896,12.5248840860946,-3.9182620810553,17.671875,3.234375
221,1,12,1,1,210,315,2.26187156967573,2.81754912916842,16.75,3.734375
222,1,12,1,2,215,388,2.19701926941066,3.02997046747811,11.578125,3.5
223,1,12,1,3,188,438,-7.97463468005516,-2.59981747044138,-9.515625,1.78125
224,1,12,1,4,251,523,-5.06262550489153,-8.70527926996827,-13.78125,-8.296875
225,1,12,1,5,200,540,2.668907332583,3.6097852773883,2.09375,2.171875
226,1,12,1,6,260,621,0.174327096348154,-11.4717765865025,0.625,-12.15625
227,1,12,1,7,255,677,2.6141920702298,-10.7908691302739,9.1875,-10.453125
228,1,12,1,8,226,743,6.39473887608778,-8.25780843812192,11.609375,-3.734375
229,1,12,1,9,157,771,10.415387555679,-1.16065724237542,7.125,1.578125
230,1,12,1,10,189,793,10.9068834656793,-3.54328901037472,16.375,-0.46875
231,1,12,2,1,204,247,-9.90309173836987,-2.72902325279828,-15.09375,-1.34375
232,1,12,2,2,231,280,-7.166324471594,-4.11347815562872,-11.46875,-2.28125
233,1,12,2,3,231,405,-5.4625082512145,-3.76931501120756,-6.578125,-1.9375
234,1,12,2,4,270,461,-4.48123859935314,-7.5304958473711,-11.34375,-7.609375
235,1,12,2,5,194,486,-6.07036372722354,-7.97917221610476,-2.78125,-0.75
236,1,12,2,6,275,588,-0.832482647083844,-9.13513093715417,-1.484375,-8.53125
237,1,12,2,7,297,702,3.80488126065253,-9.83222636044956,9.84375,-12.8125
238,1,12,2,8,260,745,5.89541943085397,-8.3209471293681,9.578125,-6
239,1,12,2,9,184,813,9.97358151306406,-5.26661824311372,16.296875,-0.859375
240,1,12,2,10,147,926,11.6218988432174,-1.60341883135672,17.875,1.484375
241,2,1,1,1,96,158,-12.0219290055069,3.29834672476577,-11.60801,0.7704386
242,2,1,1,2,209,210,2.64927540461816,0.754090508908534,14.60007,-1.797683
243,2,1,1,3,182,314,-4.62554973720224,-0.0808302088209858,-17.7056,-2.094435
244,2,1,1,4,214,384,-2.74817080497829,-4.85463614898928,-4.10922,-3.349929
245,2,1,1,5,234,437,-1.637369881031,-6.56068410001815,-1.571701,-4.867979
246,2,1,1,6,276,452,-4.33850828325908,-9.81208193762192,-5.131773,-5.929441
247,2,1,1,7,200,534,-3.19239122753888,0.340341709404919,-0.4355316,-1.580825
248,2,1,1,8,268,584,-0.534228686104316,-9.24967768959011,1.420212,-5.107664
249,2,1,1,9,246,707,4.89673547251666,-6.76653087357923,6.305888,-3.190139
250,2,1,1,10,147,815,10.04135527134,2.41102375326872,9.562907,0.6106262
251,2,1,2,1,261,248,-9.72559300023985,-6.14945631853577,-10.43397,-2.117263
252,2,1,2,2,208,295,2.74785433402759,0.145364935668673,2.101913,-0.2225647
253,2,1,2,3,214,430,-9.02139221947527,-0.534082975258047,-18.50092,-1.946059
254,2,1,2,4,139,445,-2.28441582911251,1.45023098963642,-4.033475,0.8275064
255,2,1,2,5,274,523,-3.99102633135108,-6.89600038152259,-3.692625,-2.802077
256,2,1,2,6,199,539,3.31603855940404,2.70406383295676,9.297801,0.3937683
257,2,1,2,7,191,744,-4.66067933112384,0.620382156481741,-10.50972,-0.2910461
258,2,1,2,8,257,877,8.29582317667074,-7.33884430735954,14.2212,-4.05757
259,2,1,2,9,187,919,-1.20944587445657,0.0670363434609962,-8.275249,-0.03994751
260,2,1,2,10,89,930,5.1503849863121,2.43788403868068,9.259929,3.247206
261,2,2,1,1,124,163,-3.10567074526112,1.28567907143698,10.62333,0.5992126
262,2,2,1,2,188,292,-11.6944310583228,-3.44346845615855,-10.69908,-1.626479
263,2,2,1,3,165,368,-3.11671774799549,-4.35697878903785,4.260635,0.1198425
264,2,2,1,4,216,379,-9.91103902591995,-7.04233473322183,-6.57092,-4.114638
265,2,2,1,5,138,417,5.42756049545702,-0.587296521501417,8.691844,0.09701538
266,2,2,1,6,234,467,-2.98137960979145,-8.0959632630715,-3.541135,-7.424664
267,2,2,1,7,238,557,4.41475976352571,-7.59954228170186,4.82872,-8.486126
268,2,2,1,8,230,604,7.82819252454166,-7.88161036497282,9.638652,-6.97949
269,2,2,1,9,206,662,10.2181599126245,-5.69092220843422,13.16078,-3.441237
270,2,2,1,10,140,778,11.779049432002,0.220206764730682,16.56943,-0.4051819
271,2,2,2,1,82,329,-9.58692256037784,5.02589830610936,-15.81191,6.397398
272,2,2,2,2,208,426,-12.1187152595389,-3.43966908006549,-17.89496,-2.003127
273,2,2,2,3,247,517,-7.14081311950341,-8.62092386688319,-9.94163,-5.963682
274,2,2,2,4,84,538,-3.46307372260495,9.60768703186029,-4.222837,6.294675
275,2,2,2,5,260,610,-0.185126108760151,-10.6913191737203,-0.8899994,-8.725811
276,2,2,2,6,255,687,6.36050984781468,-9.09987182566737,7.442058,-7.401836
277,2,2,2,7,82,695,6.64956908382464,8.20912986340184,4.601486,6.420225
278,2,2,2,8,125,771,8.98504121507329,3.94546023348322,11.64588,4.890783
279,2,2,2,9,216,842,12.197786901659,-0.29716325812941,11.38078,-0.8617249
280,2,2,2,10,148,860,11.7639428901582,2.64370452363363,8.729716,2.11724
281,2,3,1,1,198,349,-8.8789960321631,-1.08412408636637,-16.56936,-2.550978
282,2,3,1,2,161,512,-9.33928763459395,4.59170050823118,-13.9183,-0.9530334
283,2,3,1,3,248,600,-4.60306613679789,-4.68126663165192,-9.714396,-7.515972
284,2,3,1,4,132,689,-6.18392499222435,3.39561256911716,-5.889219,-0.4850769
285,2,3,1,5,271,702,2.89209765198164,-7.94027312046681,0.7385101,-12.27548
286,2,3,1,6,192,754,4.63766962606299,8.06773524517314,2.21553,-1.067169
287,2,3,1,7,183,823,5.10510284506438,6.32971170544994,1.609573,-1.215546
288,2,3,1,8,177,883,6.33145841132276,5.22669791800016,2.21553,-1.181305
289,2,3,1,9,236,912,9.9473245157314,-3.51568646376572,13.08503,-5.8952
290,2,3,1,10,138,1083,9.5033406572857,1.95376913467373,12.28971,0.2225647
291,2,3,2,1,86,206,-10.8326591436981,0.665907226293209,2.85936,2.482497
292,2,3,2,2,186,303,-9.14673471719814,-2.44306476362588,2.442764,0.9416422
293,2,3,2,3,110,318,-9.32463441489527,0.160327863426107,-13.84255,6.557188
294,2,3,2,4,265,347,-5.42599664782521,-5.46620834942852,-6.57092,-3.41841
295,2,3,2,5,97,434,-8.48535261750192,3.1715872307843,0.359787,4.388586
296,2,3,2,6,267,458,-4.80439199059496,-8.3375520191954,-1.420212,-4.274428
297,2,3,2,7,261,551,-0.0677291001868825,-10.08937184495,4.147018,-4.046157
298,2,3,2,8,170,584,2.64164211079529,-1.55331449005947,7.631419,0.1997375
299,2,3,2,9,247,636,3.3709569786329,-7.68362735949249,8.767589,-2.973281
300,2,3,2,10,101,776,6.62306670703463,2.56662303903876,11.83525,1.626457
301,2,4,1,1,113,386,-10.6984451536117,-1.47973667908053,-11.68376,3.464064
302,2,4,1,2,197,418,-10.9174126806622,-4.85555965116978,-7.593547,0.05136108
303,2,4,1,3,203,507,-9.10434123452095,-7.96963507375315,-18.34943,-2.745009
304,2,4,1,4,246,511,-8.37966077515405,-7.25748441784484,-10.50972,-4.890806
305,2,4,1,5,245,572,-4.24198138943576,-6.931765463136,-5.699857,-4.970701
306,2,4,1,6,252,650,2.25277181881782,-11.2153540515079,0.965744,-6.591428
307,2,4,1,7,238,723,8.55190304946069,-7.4258556709435,6.154399,-4.411436
308,2,4,1,8,146,739,8.66360978412847,-1.26994792151328,7.328441,2.608046
309,2,4,1,9,103,797,10.8012763975662,0.222461753602262,13.5395,6.53436
310,2,4,1,10,194,828,11.9152840405494,-3.42441879990887,15.69837,-1.2612
311,2,4,2,1,202,260,-3.2985819383342,-0.875588436656785,-14.33489,-0.6905212
312,2,4,2,2,225,346,-4.07041129794405,-0.980029025110487,-17.21326,-1.923232
313,2,4,2,3,210,436,-2.48592773866235,-0.8522527673768,-10.28248,-0.8503113
314,2,4,2,4,292,515,-1.35950006400578,-4.761927194139,-10.88844,-5.609861
315,2,4,2,5,299,672,4.82427183881266,-4.22827067279331,-2.253403,-5.792478
316,2,4,2,6,238,685,2.10318007817919,5.4276485978973,-11.83525,1.557975
317,2,4,2,7,252,793,4.68584387124676,0.180140149681659,-17.0239,2.436843
318,2,4,2,8,294,869,7.8248221324442,-3.68091693005123,6.49525,-4.479917
319,2,4,2,9,262,949,7.40058014745364,-1.64463268819994,9.676524,-2.824904
320,2,4,2,10,181,1090,7.70792337809244,-1.56594641434663,7.025462,0.6448669
321,2,5,1,1,255,256,0.329019446954942,2.28319033857146,3.919785,0.348114
322,2,5,1,2,299,424,0.19715520070145,1.33130952756649,0.3976593,9.730228
323,2,5,1,3,272,442,-1.68911015517511,-1.76574666244227,-2.670072,-1.877578
324,2,5,1,4,204,490,-7.52804439761244,-5.9187923730497,-8.616099,-1.569411
325,2,5,1,5,289,611,0.60912446066145,-3.83610004432398,0.5491486,-2.745009
326,2,5,1,6,276,714,3.07729058751144,-3.10179138212855,2.897232,-2.185744
327,2,5,1,7,170,794,3.45410003604171,0.643949465309986,2.480637,0.1426697
